,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
22821,32,technician,single,university.degree,no,yes,yes,cellular,aug,mon,508,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
5272,29,admin.,married,high.school,no,no,no,telephone,may,fri,288,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
24522,35,management,married,university.degree,no,no,no,cellular,nov,mon,146,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
33957,59,retired,divorced,professional.course,no,no,no,cellular,may,wed,69,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
7146,55,technician,married,professional.course,no,yes,no,telephone,may,thu,166,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
30338,43,admin.,married,university.degree,no,yes,no,cellular,apr,thu,114,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
29843,31,services,married,basic.9y,no,no,no,cellular,apr,mon,643,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
16007,38,services,single,high.school,unknown,yes,no,cellular,jul,tue,204,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
6884,25,blue-collar,single,basic.6y,unknown,no,yes,telephone,may,wed,90,8,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
32946,49,blue-collar,single,high.school,no,yes,no,cellular,may,mon,430,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
38281,71,retired,single,university.degree,no,no,no,telephone,oct,tue,120,1,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,no
9565,29,admin.,married,high.school,no,no,no,telephone,jun,mon,100,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
22656,42,entrepreneur,married,high.school,no,no,no,cellular,aug,fri,332,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
8039,37,admin.,divorced,basic.9y,unknown,yes,no,telephone,jun,mon,303,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
20476,40,technician,married,high.school,no,no,no,cellular,aug,tue,370,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
17751,50,technician,married,professional.course,unknown,yes,no,cellular,jul,tue,116,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
15251,37,blue-collar,single,basic.4y,no,no,yes,cellular,jul,thu,728,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
37228,24,student,single,high.school,no,no,no,cellular,aug,fri,292,1,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,no
12965,55,retired,married,basic.6y,unknown,yes,yes,cellular,jul,tue,632,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
33229,48,admin.,divorced,university.degree,no,no,no,cellular,may,tue,1062,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
40,58,management,unknown,university.degree,no,yes,no,telephone,may,mon,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
28815,33,technician,married,professional.course,no,no,yes,cellular,apr,thu,383,3,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
14323,31,housemaid,married,high.school,no,yes,no,cellular,jul,mon,109,8,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
10328,42,technician,married,university.degree,unknown,yes,no,telephone,jun,mon,91,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
8998,41,admin.,married,high.school,no,no,no,telephone,jun,thu,152,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
35286,32,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,122,8,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
15635,41,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,mon,257,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
31467,36,blue-collar,single,high.school,no,no,yes,cellular,may,wed,1347,2,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,yes
38411,36,admin.,married,university.degree,no,yes,no,cellular,oct,wed,825,1,6,1,success,-3.4,92.431,-26.9,0.735,5017.5,yes
21579,29,admin.,single,university.degree,no,no,yes,cellular,aug,tue,360,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
30555,51,blue-collar,married,basic.4y,no,yes,no,cellular,may,mon,601,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
39762,74,retired,married,professional.course,no,no,no,cellular,may,fri,309,4,999,3,failure,-1.8,93.876,-40.0,0.699,5008.7,no
13392,40,blue-collar,married,basic.6y,no,yes,no,cellular,jul,wed,480,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
33930,27,admin.,married,high.school,no,yes,yes,cellular,may,wed,77,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
31230,38,admin.,married,university.degree,no,unknown,unknown,cellular,may,wed,118,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
11024,26,technician,single,professional.course,no,no,no,telephone,jun,wed,84,5,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
14174,49,management,married,university.degree,no,no,no,cellular,jul,mon,549,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
12045,32,management,married,university.degree,no,no,no,telephone,jun,fri,80,4,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no
10993,32,technician,married,professional.course,no,no,no,telephone,jun,wed,188,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
13588,46,management,married,high.school,unknown,no,no,cellular,jul,thu,103,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
37649,26,admin.,single,university.degree,no,yes,no,telephone,aug,tue,215,1,999,1,failure,-2.9,92.201,-31.4,0.859,5076.2,yes
24296,53,blue-collar,married,basic.4y,no,no,no,cellular,nov,mon,545,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
7313,37,housemaid,married,university.degree,unknown,yes,no,telephone,may,thu,25,11,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
8392,50,admin.,married,university.degree,no,yes,no,telephone,jun,tue,199,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
18699,36,technician,single,professional.course,no,no,no,telephone,jul,thu,237,7,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
19486,38,services,single,high.school,no,yes,no,cellular,aug,thu,228,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
10287,25,technician,single,university.degree,no,yes,yes,telephone,jun,mon,35,6,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
28236,25,student,single,high.school,no,no,no,cellular,apr,tue,98,2,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no
32794,31,management,single,university.degree,no,yes,no,cellular,may,mon,125,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
5778,27,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
9725,42,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,175,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
31979,36,student,single,basic.9y,unknown,yes,yes,cellular,may,thu,432,3,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
9472,29,self-employed,single,university.degree,no,no,no,telephone,jun,mon,221,10,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
20185,44,management,married,university.degree,no,yes,no,cellular,aug,mon,389,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
5751,31,admin.,single,university.degree,no,no,yes,telephone,may,mon,177,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
9408,45,technician,married,professional.course,unknown,no,no,telephone,jun,fri,124,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
31443,41,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,233,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
35778,37,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,22,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
23161,35,technician,married,professional.course,no,yes,no,cellular,aug,tue,333,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1929,33,blue-collar,married,basic.4y,no,yes,no,telephone,may,fri,232,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
27474,51,technician,married,professional.course,no,yes,no,cellular,nov,fri,51,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no
7248,37,admin.,single,university.degree,no,yes,no,telephone,may,thu,900,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,yes
21322,35,admin.,married,university.degree,no,no,no,cellular,aug,mon,1364,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
9894,51,admin.,married,basic.6y,unknown,yes,no,telephone,jun,wed,140,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
25349,36,blue-collar,married,basic.9y,no,yes,no,cellular,nov,tue,893,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
11464,34,admin.,married,university.degree,no,no,no,telephone,jun,fri,64,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
27211,34,technician,divorced,university.degree,no,yes,no,cellular,nov,fri,526,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
40781,33,admin.,married,university.degree,no,no,no,cellular,sep,wed,208,2,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,yes
28935,32,management,single,university.degree,no,no,no,cellular,apr,fri,82,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
636,36,admin.,married,university.degree,no,yes,yes,telephone,may,tue,132,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
27280,53,blue-collar,married,basic.4y,no,yes,no,cellular,nov,fri,180,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
515,32,technician,married,unknown,unknown,yes,no,telephone,may,tue,267,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
11931,45,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,fri,924,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
10141,39,management,married,university.degree,no,no,yes,telephone,jun,thu,127,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
10422,29,admin.,married,university.degree,no,no,no,telephone,jun,mon,81,4,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
18671,30,services,single,high.school,unknown,no,no,telephone,jul,thu,454,18,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
404,36,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,43,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
26231,39,entrepreneur,married,professional.course,no,yes,no,cellular,nov,thu,997,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
40879,75,retired,married,basic.4y,no,yes,no,cellular,oct,wed,1020,3,999,3,failure,-1.1,94.601,-49.5,0.959,4963.6,no
22407,32,admin.,married,university.degree,unknown,yes,no,cellular,aug,fri,491,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
3605,54,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,fri,370,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
29246,29,services,single,high.school,no,no,no,cellular,apr,fri,473,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
25730,32,blue-collar,single,high.school,no,unknown,unknown,cellular,nov,wed,77,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
17186,27,admin.,married,university.degree,no,no,no,cellular,jul,fri,67,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
21422,54,technician,married,professional.course,unknown,no,no,cellular,aug,tue,213,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
39267,29,admin.,single,high.school,no,yes,yes,cellular,mar,mon,257,1,999,0,nonexistent,-1.8,93.369,-34.8,0.646,5008.7,yes
26691,37,management,married,basic.9y,no,yes,no,cellular,nov,thu,130,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
6238,40,retired,married,professional.course,no,no,no,telephone,may,tue,140,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
35142,45,self-employed,divorced,university.degree,no,no,yes,cellular,may,fri,133,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
6513,34,technician,single,professional.course,no,no,no,telephone,may,wed,223,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
4542,24,student,married,university.degree,no,no,no,telephone,may,tue,139,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
20425,51,entrepreneur,married,basic.4y,unknown,no,no,cellular,aug,tue,148,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
35792,47,entrepreneur,married,professional.course,no,unknown,unknown,cellular,may,mon,44,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
3019,30,admin.,married,university.degree,no,yes,no,telephone,may,wed,303,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
895,44,admin.,married,high.school,no,yes,no,telephone,may,wed,378,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
16280,34,blue-collar,married,basic.4y,no,yes,no,cellular,jul,tue,246,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
9385,38,unemployed,married,basic.9y,no,no,no,telephone,jun,fri,56,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
37534,33,admin.,single,university.degree,no,no,no,cellular,aug,thu,275,1,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,no
41025,25,student,single,high.school,no,no,no,cellular,oct,fri,554,3,999,0,nonexistent,-1.1,94.601,-49.5,1.029,4963.6,yes
6767,34,technician,married,university.degree,no,no,no,telephone,may,wed,198,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
25824,34,management,married,university.degree,no,no,no,cellular,nov,wed,363,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
12793,26,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,106,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
22341,34,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,140,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
27709,26,student,single,basic.9y,no,yes,no,cellular,mar,mon,59,2,999,0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1,no
31163,28,technician,single,high.school,no,yes,no,cellular,may,wed,576,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,yes
3780,33,services,single,high.school,no,no,no,telephone,may,fri,326,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
27858,32,admin.,single,professional.course,no,yes,yes,cellular,mar,tue,81,1,999,0,nonexistent,-1.8,92.843,-50.0,1.614,5099.1,no
17403,58,retired,married,unknown,unknown,yes,no,cellular,jul,mon,174,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
1719,46,services,married,professional.course,no,no,no,telephone,may,fri,115,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
26259,34,technician,married,high.school,no,yes,yes,cellular,nov,thu,116,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
40850,30,student,single,high.school,no,yes,no,cellular,sep,wed,201,2,999,0,nonexistent,-1.1,94.199,-37.5,0.886,4963.6,no
25562,34,admin.,married,high.school,no,no,no,cellular,nov,wed,183,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
34748,29,blue-collar,married,basic.6y,no,no,yes,cellular,may,thu,93,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
23510,29,technician,married,professional.course,no,yes,no,cellular,aug,thu,965,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,yes
35533,37,blue-collar,married,professional.course,no,yes,no,cellular,may,mon,185,1,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
10691,32,blue-collar,married,basic.9y,no,yes,yes,telephone,jun,tue,118,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
34402,39,technician,single,basic.4y,unknown,yes,no,cellular,may,thu,411,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
25389,34,technician,divorced,professional.course,no,yes,no,cellular,nov,tue,83,2,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,no
5832,32,technician,single,university.degree,no,no,no,telephone,may,mon,251,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
18475,36,blue-collar,married,basic.6y,unknown,no,no,telephone,jul,thu,208,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
38248,38,technician,divorced,professional.course,no,no,yes,cellular,oct,tue,135,1,999,2,failure,-3.4,92.431,-26.9,0.742,5017.5,no
33728,30,technician,single,high.school,no,yes,no,cellular,may,wed,9,12,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
8994,36,admin.,married,high.school,no,no,no,telephone,jun,thu,127,4,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
17047,43,entrepreneur,single,university.degree,no,no,yes,cellular,jul,fri,210,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
15307,32,services,single,high.school,no,no,no,cellular,jul,fri,185,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
7605,53,admin.,married,basic.9y,unknown,yes,no,telephone,may,fri,168,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
36424,30,admin.,single,university.degree,no,no,no,cellular,jun,tue,482,2,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
4681,35,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,162,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
6373,41,services,married,high.school,no,no,no,telephone,may,tue,177,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
7765,30,admin.,married,university.degree,no,no,no,telephone,jun,mon,100,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
23776,58,admin.,divorced,university.degree,no,yes,no,telephone,aug,thu,688,6,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
724,38,services,married,high.school,no,yes,no,telephone,may,tue,106,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
4451,37,services,married,high.school,unknown,no,yes,telephone,may,tue,335,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
9412,41,technician,divorced,basic.4y,no,yes,no,telephone,jun,fri,128,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
21541,35,entrepreneur,divorced,professional.course,unknown,unknown,unknown,cellular,aug,tue,950,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
18728,54,admin.,married,university.degree,unknown,yes,no,cellular,jul,thu,65,43,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
23006,46,admin.,married,basic.9y,no,yes,yes,cellular,aug,tue,160,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
21644,54,blue-collar,married,basic.4y,no,yes,yes,cellular,aug,tue,53,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
39191,27,student,single,high.school,no,no,no,cellular,mar,fri,219,1,999,0,nonexistent,-1.8,93.369,-34.8,0.653,5008.7,yes
20707,33,technician,single,university.degree,no,yes,no,telephone,aug,wed,827,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
605,32,admin.,single,university.degree,no,no,no,telephone,may,tue,389,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2477,32,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,255,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
34685,33,services,single,high.school,no,yes,no,cellular,may,thu,367,2,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
35534,34,admin.,married,high.school,unknown,no,no,cellular,may,mon,186,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
18572,28,services,married,high.school,no,no,no,cellular,jul,thu,184,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
34444,24,services,single,high.school,no,no,no,cellular,may,thu,47,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
32350,38,blue-collar,single,high.school,no,yes,no,cellular,may,fri,81,3,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
21654,34,technician,single,university.degree,no,yes,no,cellular,aug,tue,149,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
15701,40,management,married,university.degree,no,no,no,cellular,jul,mon,77,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
3584,25,housemaid,single,basic.9y,no,no,no,telephone,may,fri,130,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
18040,42,entrepreneur,single,unknown,no,no,no,cellular,jul,wed,295,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
11476,40,technician,divorced,university.degree,no,yes,yes,telephone,jun,fri,188,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
24831,40,admin.,married,high.school,no,yes,no,cellular,nov,tue,134,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
10598,57,retired,single,professional.course,no,no,yes,telephone,jun,tue,78,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
21691,37,technician,single,university.degree,no,no,no,cellular,aug,tue,59,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
14274,52,services,married,high.school,unknown,no,no,cellular,jul,mon,76,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
17985,37,admin.,single,high.school,no,yes,no,telephone,jul,tue,49,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
35900,46,admin.,single,high.school,no,yes,yes,cellular,may,mon,65,2,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no
8355,31,unemployed,divorced,basic.4y,no,yes,no,telephone,jun,tue,801,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
24416,39,management,married,university.degree,no,no,no,cellular,nov,mon,102,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
25359,52,technician,married,professional.course,no,yes,yes,telephone,nov,tue,285,2,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,no
20574,56,blue-collar,married,unknown,no,yes,no,cellular,aug,tue,178,8,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
13833,52,services,married,basic.4y,no,yes,no,cellular,jul,fri,264,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
8420,60,retired,single,high.school,no,no,no,telephone,jun,tue,136,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
8866,28,technician,single,professional.course,no,no,no,telephone,jun,thu,508,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,yes
3414,29,admin.,married,university.degree,no,yes,no,telephone,may,thu,302,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
27456,36,admin.,married,university.degree,no,yes,no,cellular,nov,fri,85,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no
9984,29,admin.,single,university.degree,no,yes,yes,telephone,jun,wed,124,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
23862,33,admin.,married,university.degree,unknown,yes,yes,cellular,aug,fri,128,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
7752,41,self-employed,married,high.school,no,yes,no,telephone,may,fri,206,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
11394,51,services,married,high.school,unknown,yes,no,telephone,jun,fri,41,28,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
38304,28,student,single,high.school,no,no,no,telephone,oct,thu,280,1,999,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5,no
7477,30,services,married,high.school,no,yes,yes,telephone,may,fri,114,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
4582,25,technician,single,professional.course,no,yes,yes,telephone,may,tue,243,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
36097,25,admin.,single,university.degree,no,yes,yes,cellular,may,tue,82,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
20393,30,admin.,single,university.degree,no,no,no,cellular,aug,tue,52,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
17638,57,admin.,married,university.degree,unknown,yes,no,cellular,jul,mon,194,24,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
18370,50,technician,single,high.school,unknown,no,no,telephone,jul,thu,125,6,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
25853,31,blue-collar,single,high.school,no,yes,no,cellular,nov,wed,522,1,6,1,success,-0.1,93.2,-42.0,4.12,5195.8,yes
10998,54,unemployed,married,high.school,no,no,no,telephone,jun,wed,36,16,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
31289,31,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,wed,153,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
4112,34,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,263,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
24510,53,housemaid,married,university.degree,no,no,no,cellular,nov,mon,53,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
8092,43,services,married,high.school,unknown,no,no,telephone,jun,mon,178,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
36515,29,admin.,divorced,university.degree,no,yes,no,cellular,jun,wed,238,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
32323,32,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,18,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
6285,46,admin.,single,high.school,unknown,yes,no,telephone,may,tue,182,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
4949,39,technician,married,professional.course,no,unknown,unknown,telephone,may,wed,575,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
16886,53,unknown,single,unknown,no,yes,no,cellular,jul,thu,343,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
27008,51,admin.,married,university.degree,no,yes,no,cellular,nov,fri,358,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
17640,43,services,married,high.school,no,yes,yes,telephone,jul,mon,118,8,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
30193,30,admin.,single,university.degree,no,no,no,cellular,apr,thu,222,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
40106,28,blue-collar,single,high.school,no,no,no,cellular,jul,mon,194,3,999,0,nonexistent,-1.7,94.215,-40.3,0.827,4991.6,no
40288,60,retired,married,professional.course,no,yes,yes,cellular,jul,thu,95,4,6,2,success,-1.7,94.215,-40.3,0.899,4991.6,no
29766,31,services,divorced,high.school,no,yes,no,cellular,apr,mon,267,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
5221,29,admin.,single,university.degree,no,no,no,telephone,may,fri,98,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
